City,State,Country,HQ2 Finalist,HQ2 Victor,SiteName,Population,Y,X,Local_Before,State_Before,Total_Before,Local_Leaked_Post1113,State_Leaked_Post1113,Total_Leaked_Post1113,Total_Final,Total_PerCapita,Total_Final_String,Total_PC_String,PublicationMethod,PublicationMethod_Code,IncentiveType,StateBid,Link_Intel,ReleasedBid,Leaked_Post113_BidIntel,Other Intel Links,Notes
Birmingham,Alabama,United States,0,0,None Identified,210710,33.520197,-86.810935,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,0,0,$0,$0.00,Denied FOIA,6,Unknown,No,https://www.muckrock.com/foi/birmingham-743/amazon-hq2-bid-44985/,,,http://bringatob.com/,Denied FOIA.
Anchorage,Alaska,United States,0,0,None Identified,294356,61.216369,-149.894842,0,NA,0,NA,NA,NA,0,0,$0,$0.00,Not Released,4,Unknown,No,https://www.ktva.com/story/36641350/three-alaskan-women-make-case-for-2nd-amazon-hq-in-anchorage,,,,
Calgary,Alberta,Canada,0,0,None Identified,1239220,51.045628,-114.056506,0,0,0,NA,500000000,500000000,500000000,403,"$500,000,000",$403.48,Values,2,State,No,https://calgaryherald.com/business/local-business/calgary-offers-amazon-sweeteners-no-tax-incentives,,,https://www.vantageres.com/localities-fortify-their-amazon-hq2-bids-with-hefty-financial-incentives/,"State is Canada, with $500M boost"
Edmonton,Alberta,Canada,0,0,None Identified,932550,53.545668,-113.490205,0,0,0,NA,500000000,500000000,500000000,536,"$500,000,000",$536.16,Values,2,State,No,https://www.cbc.ca/news/canada/edmonton/edmonton-amazon-bid-corporate-incentives-1.4904472,,,https://www.vantageres.com/localities-fortify-their-amazon-hq2-bids-with-hefty-financial-incentives/,"State is Canada, with $500M boost"
Phoenix,Arizona,United States,0,0,Park Central Mall ,1626078,33.484183,-112.07639,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,0,0,$0,$0.00,Redacted,5,Unknown,No,http://www.natemjensen.com/wp-content/uploads/2018/02/Phoenix-Local-level-incentives-redacted.pdf,,,https://www.muckrock.com/foi/phoenix-94/amazon-hq2-bid-45333/,
Vancouver,British Columbia,Canada,0,0,"Broadway Tech Centre, Surrey City Centre, Bridgeport, Downtown",631490,49.281415,-123.114554,Redacted,Redacted,Redacted,NA,500000000,500000000,500000000,792,"$500,000,000",$791.78,Redacted,5,State,No,http://www.vancouvereconomic.com/wp-content/uploads/2018/02/Vancouver-Amazon-HQ2-Proposal-Feb-2018.pdf?utm_source=Website&utm_medium=Button&utm_campaign=AmazonHQ2Download&utm_content=ViewPDF,http://www.vancouvereconomic.com/wp-content/uploads/2018/02/Vancouver-Amazon-HQ2-Proposal-Feb-2018.pdf?utm_source=Website&utm_medium=Button&utm_campaign=AmazonHQ2Download&utm_content=ViewPDF,https://vancouversun.com/business/local-business/langford-makes-bid-for-amazon-headquarters-2,https://www.vantageres.com/localities-fortify-their-amazon-hq2-bids-with-hefty-financial-incentives/,"State is Canada, with $500M boost. $50k thrown in by BC for metro Vancouver bids. "
Langford,British Columbia,Canada,0,0,Unreleased,35342,48.449858,-123.50468,Unreleased,Unreleased,Unreleased,Unreleased,50000,Unreleased,50000,1,"$50,000",$1.41,Redacted,5,Unknown,No,https://thebreaker.news/news/comes-showing-amazon-hq2-bids-toronto-good/,,,,"Bid not released. Stated that BC contributed $50,000 for metro Vancouver. "
San Francisco,California,United States,0,0,San Francisco Shipyard and Candlestick Point,884363,37.712912,-122.379456,6400000000,1300000000,7700000000,NA,NA,NA,7700000000,8707,"$7,700,000,000","$8,706.83",Values,2,Local & State,No,http://documents.bayareacouncil.org/amazonbid.pdf,http://documents.bayareacouncil.org/amazonbid.pdf,,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,"State value is the absolute max possible, hard to figure out if they passed bill for $1b in tax credits. If not, then $300 M from state."
Irvine,California,United States,0,0,Spectrum District,277453,33.651494,-117.744566,5300000000,1300000000,6600000000,NA,NA,NA,6600000000,23788,"$6,600,000,000","$23,787.81",Values,2,Local & State,No,http://www.oneclickhq2.com/media/2733/hq2_irvine_proposal_final_v2.pdf,http://www.oneclickhq2.com/media/2733/hq2_irvine_proposal_final_v2.pdf,http://product.costar.com/home/news/shared/184098,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,Untabulated property tax abatement
Concord,California,United States,0,0,Concord Phase I,129783,38.056995,-122.029301,447000000,1300000000,1747000000,NA,NA,NA,1747000000,13461,"$1,747,000,000","$13,460.93",Values,2,Local & State,No,http://documents.bayareacouncil.org/amazonbid.pdf,http://documents.bayareacouncil.org/amazonbid.pdf,,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,"State value is the absolute max possible, hard to figure out if they passed bill for $1b in tax credits. If not, then $300 M from state."
Chula Vista,California,United States,0,0,Millenia (Innovation District),267000,32.61959,-116.96874,430000000,1300000000,1730000000,NA,NA,NA,1710000000,6404,"$1,710,000,000","$6,404.49",Values,2,Local & State,No,http://www.sandiegobusiness.org/sites/default/files/SD-AMAZONPROPOSAL-HQ2-DIGITAL-S.compressed.pdf,https://www.chulavistaca.gov/home/showdocument?id=15602,,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,"State value is the absolute max possible, hard to figure out if they passed bill for $1b in tax credits. If not, then $300 M from state."
Elk Grove,California,United States,0,0,Kammerer Road neighborhood,171844,38.382731,-121.392836,281000000,1300000000,1581000000,NA,NA,NA,1581000000,9200,"$1,581,000,000","$9,200.20",Values,2,Local & State,No,https://www.sacbee.com/news/local/news-columns-blogs/city-beat/article198192614.html,,,,"State value is the absolute max possible, hard to figure out if they passed bill for $1b in tax credits. If not, then $300 M from state."
Cal Poly Pomona-Fairplex-Pomona,California,United States,0,0,Amazon Polyplex,152939,34.081188,-117.765826,NA,1300000000,1300000000,268900000,NA,NA,1568900000,10258,"$1,568,900,000","$10,258.34",Values,2,Local & State,No,https://www.muckrock.com/foi/pomona-3380/amazon-hq2-bid-45684/#files,http://ci.pomona.ca.us/index.php/city-of-pomona-press-releases/1701-amazon-hq2,,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,"State value is the absolute max possible, hard to figure out if they passed bill for $1b in tax credits. If not, then $300 M from state. Will try to exempt from CEQA. "
West Sacramento,California,United States,0,0,Bridge District,53512,38.57489,-121.516676,180000000,1300000000,1480000000,NA,NA,NA,1480000000,27657,"$1,480,000,000","$27,657.35",Values,2,Local & State,No,https://www.sacbee.com/news/local/news-columns-blogs/city-beat/article198192614.html,,,,"State value is the absolute max possible, hard to figure out if they passed bill for $1b in tax credits. If not, then $300 M from state. "
Roseville,California,United States,0,0,"Westfield Galleria abutter, 6382 Phillip Road",135329,38.773624,-121.269577,39000000,1300000000,1339000000,NA,NA,NA,1339000000,9894,"$1,339,000,000","$9,894.41",Values,2,Local & State,No,https://www.sacbee.com/news/local/news-columns-blogs/city-beat/article198192614.html,https://roseville.ca.us/news/what_s_happening_in_roseville/roseville_makes_pitch_for_amazon,,,"State value is the absolute max possible, hard to figure out if they passed bill for $1b in tax credits. If not, then $300 M from state.  Roseville did not quantify land incentives in public press release, but newspaper tabulated. "
San Diego,California,United States,0,0,"Downtown, Mission Valley",1420000,32.716942,-117.162808,25000000,1300000000,1325000000,NA,NA,NA,1325000000,933,"$1,325,000,000",$933.10,Not Tabulated,3,Local & State,No,http://www.sandiegobusiness.org/sites/default/files/SD-AMAZONPROPOSAL-HQ2-DIGITAL-S.compressed.pdf,http://www.sandiegobusiness.org/sites/default/files/SD-AMAZONPROPOSAL-HQ2-DIGITAL-S.compressed.pdf,,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,"untabulated Sales and Use Tax rebate up to 50% of new revenue generation, Property Tax rebate up to 50% of City's portion, Below market lease rate, if city retains ownership, Below market purchase price, if sold, Express/streamlined permitting, on site approval office, Permit fees reduced or paid by the city for site prep needs, Permit fees reduced or waived for new construction, Potential for New Market Tax Credits "
Sacramento,California,United States,0,0,"Downtown rail yards, Sleep Train Arena",501901,38.589883,-121.499109,16700000,1300000000,1316700000,NA,NA,NA,1316700000,2623,"$1,316,700,000","$2,623.43",Values,2,Local & State,No,https://www.sacbee.com/news/local/news-columns-blogs/city-beat/article198192614.html,,,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,"State value is the absolute max possible, hard to figure out if they passed bill for $1b in tax credits. If not, then $300 M from state."
Long Beach-Huntington Beach,California,United States,0,0,"Amazon Sand, Sea, Air (Boeing, Huntington Beach; Golden Shore, Long Beach; Boeing, Long Beach Airport)",671324,33.747759,-118.036995,Denied FOIA,1300000000,1300000000,10690000,NA,1310690000,1310690000,1952,"$1,310,690,000","$1,952.40",Values,2,Local & State,No,https://longbeachca.govqa.us/WEBAPP/_rs/(S(otgtwzwluwtxwqedae5j5tzd))/RequestArchiveDetails.aspx?rid=777&view=1,https://www.muckrock.com/foi/long-beach-291/amazon-hq2-bid-45308/,,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,Untabulated workforce development funds. 
Santa Ana,California,United States,0,0,"625ive, One Broadway Plaza, Willowick Golf Course, State of California Building 28",334136,33.74035,-117.850525,5000000,1300000000,1305000000,NA,NA,NA,1305000000,3906,"$1,305,000,000","$3,905.60",Values,2,Local & State,No,https://ggcity.org/city-files/amazon-hq2.pdf,https://ggcity.org/city-files/amazon-hq2.pdf,,https://www.ocregister.com/2017/10/16/a-look-at-harrahs-10-million-square-feet-amazon-hq2-proposal/,"State value is the absolute max possible, hard to figure out if they passed bill for $1b in tax credits. If not, then $300 M from state."
Fresno,California,United States,0,0,"Downtown, Southwest, Friant Corridor, Southeast, West Shaw",527438,36.739585,-119.784667,504000000,1300000000,1300000000,NA,NA,NA,1300000000,2465,"$1,300,000,000","$2,464.74",Values,2,Local & State,No,https://cdn.muckrock.com/outbound_attachments/Alpha/45101/77513fmkVarrecsProposalforAmazonH2QResponsetoPRARequestbyLustigExhibitB.pdf,https://cdn.muckrock.com/outbound_attachments/Alpha/45101/77513fmkVarrecsProposalforAmazonH2QResponsetoPRARequestbyLustigExhibitB.pdf,,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,"Workforce training assumes 50k workers at 40hrs at above minimum wage, for the max 6 mo gig (12x40x4x3*1 + 12x40x4x3*.75)"
San Jose,California,United States,0,0,"North San Jose, Downtown, South San Jose",1035000,37.399459,-121.929336,NA,1300000000,1300000000,NA,NA,NA,1300000000,1256,"$1,300,000,000","$1,256.04",Not Tabulated,3,Local & State,No,https://news.theregistrysf.com/wp-content/uploads/2017/10/San-Jose-oed-booklet-amazonrfp-final-digital.pdf,https://news.theregistrysf.com/wp-content/uploads/2017/10/San-Jose-oed-booklet-amazonrfp-final-digital.pdf,,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,"Untabulated local Foreign Trade Zone, Business Cooperation Program, Special Tenant Improvement program"
,Chihuahua,Mexico,0,0,None Identified,3556574,28.639124,-106.073465,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Released,4,Unknown,Yes,https://qz.com/1119945/a-nearly-complete-list-of-the-238-places-that-bid-for-amazons-next-headquarters/,,,,
Denver,Colorado,United States,1,0,None Identified,704621,39.740762,-104.990084,Denied FOIA,Denied FOIA,Denied FOIA,69800000,100000000,109800000,109800000,156,"$109,800,000",$155.83,Values,2,Local & State,No,https://daniels.du.edu/records-reveal-denvers-secretive-amazon-hq2-bid-including-specific-incentives/,https://www.denverpost.com/2017/11/16/colorado-releases-amazon-hq2-proposal-pitching-denver-area/,,,"Bid itself is redacted, values released later. "
Bridgeport-New Haven,Connecticut,United States,0,0,"Downtown Connector (NH), others in Bridgeport",277593,41.301749,-72.927015,NA,545000000,545000000,NA,NA,NA,545000000,1963,"$545,000,000","$1,963.31",Not Released,4,Unknown,No,https://www.nhregister.com/business/article/New-Haven-Bridgeport-surrounding-region-team-up-12216130.php,,http://www.natemjensen.com/wp-content/uploads/2018/03/RFP_AmazonHQ2_Connecticut.pdf,,
Danbury,Connecticut,United States,0,0,Matrix Conference & Banquet Center,85246,41.382932,-73.531546,NA,545000000,545000000,NA,NA,NA,545000000,6393,"$545,000,000","$6,393.26",Not Released,4,Local & State,No,https://www.muckrock.com/foi/danbury-101/amazon-hq2-bid-45032/#file-170349,https://www.lohud.com/story/news/local/2017/10/21/amazon-hq-2-rfp-proposals-new-york-jersey-connecticut/787130001/,http://www.natemjensen.com/wp-content/uploads/2018/03/RFP_AmazonHQ2_Connecticut.pdf,https://www.citylab.com/life/2017/10/how-far-will-cities-go-to-win-amazon-hq2/541551/,"Untabulated personal property tax and real estate tax exemption, sewer and water fee abatement (1yr), and lease of airport hangar as part of local incentives. Untabulated state tax credits."
Hartford,Connecticut,United States,0,0,None Identified,123400,41.76258,-72.673498,Denied FOIA,545000000,545000000,NA,NA,NA,545000000,4417,"$545,000,000","$4,416.53",Denied FOIA,6,Unknown,Yes,https://ctisprime.com/wp-content/uploads/2017/10/RFP_AmazonHQ2_Connecticut_101817_lr.pdf,https://ctisprime.com/wp-content/uploads/2017/10/RFP_AmazonHQ2_Connecticut_101817_lr.pdf,http://www.natemjensen.com/wp-content/uploads/2018/03/RFP_AmazonHQ2_Connecticut.pdf,,"Not included in released bid, not published anywhere other than in confidential Amazon submission. MuckRock has no information about it. "
Stamford,Connecticut,United States,0,0,None Identified,130824,41.0511573,-73.5433047,Denied FOIA,545000000,545000000,NA,NA,NA,545000000,4166,"$545,000,000","$4,165.90",Denied FOIA,6,Unknown,Yes,https://ctisprime.com/wp-content/uploads/2017/10/RFP_AmazonHQ2_Connecticut_101817_lr.pdf,https://ctisprime.com/wp-content/uploads/2017/10/RFP_AmazonHQ2_Connecticut_101817_lr.pdf,http://www.natemjensen.com/wp-content/uploads/2018/03/RFP_AmazonHQ2_Connecticut.pdf,,"Not included in released bid, not published anywhere other than in confidential Amazon submission. MuckRock has no information about it. "
Waterbury,Connecticut,United States,0,0,Naugatuck River site,108629,41.557533,-73.052038,Untabulated,545000000,545000000,NA,NA,NA,545000000,5017,"$545,000,000","$5,017.08",Not Tabulated,3,Local & State,No,http://www.wdconline.org/filestorage/59/amazonproposal.pdf,http://www.wdconline.org/filestorage/59/amazonproposal.pdf,http://www.natemjensen.com/wp-content/uploads/2018/03/RFP_AmazonHQ2_Connecticut.pdf,,"Tax abatement from town, untabulated/mentioned state"
Claymont,Delaware,United States,0,0,First State Crossing,8253,39.810957,-75.44925,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,0,0,$0,$0.00,Redacted,5,Unknown,Yes,https://cdn.muckrock.com/foia_files/2018/01/29/AMAZON-HAS-OPTIONS-IN-DELAWARE_Redacted.Rev1.pdf,https://cdn.muckrock.com/foia_files/2018/01/29/AMAZON-HAS-OPTIONS-IN-DELAWARE_Redacted.Rev1.pdf,,,Bid redacted. 
Wilmington,Delaware,United States,0,0,"Riverfront, 1800 Concord Pike (Fairfax)",71106,39.742732,-75.546857,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,0,0,$0,$0.00,Redacted,5,Unknown,Yes,https://cdn.muckrock.com/foia_files/2018/01/29/AMAZON-HAS-OPTIONS-IN-DELAWARE_Redacted.Rev1.pdf,https://cdn.muckrock.com/foia_files/2018/01/29/AMAZON-HAS-OPTIONS-IN-DELAWARE_Redacted.Rev1.pdf,,,Bid redacted. 
Washington,District of Columbia,United States,1,0,"Anacostia Riverfront, NoMa-Union Station, Capitol Hill East, Shaw-Howard University",693972,38.894978,-77.031355,Redacted,Redacted,Redacted,1053000000,NA,1053000000,1053000000,1517,"$1,053,000,000","$1,517.35",Values,2,Local & State,Yes,https://www.scribd.com/document/393613021/Pages-From-AmazonHQ2-Proposal-Obviouslydc-Full,https://s3.amazonaws.com/obviouslydc.com/downloads/AmazonHQ2_Proposal-obviouslydcPublic.pdf,https://www.scribd.com/document/393613021/Pages-From-AmazonHQ2-Proposal-Obviouslydc-Full,,"Released after HQ2 sites were announced, clearly tabulates. "
Orlando,Florida,United States,0,0,"Creative Village, Lake Nona & Sunbridge, NeoCity, Tupperware site",280257,28.371593,-81.278236,NA,NA,NA,801621854,500000000,1301621854,1301621854,4644,"$1,301,621,854","$4,644.39",Values,2,Local & State,No,http://orlandoedc.com/Orlando/media/Orlando/Why-Orlando/DTO-AmazonHQ2_Orlando_RFP_Response.pdf?hsCtaTracking=526c0908-c413-446a-bd18-8abbb4bc9464%7C74364e8f-93ea-40c3-bfbf-1bd3d5442911,http://blog.orlandoedc.com/blog/orlando-amazon-hq2-proposal,,http://www.wlrn.org/post/sunshine-economy-loses-race-amazons-hq2,"Used downtown as enumeration since it was the largest value. Improving this dataset would require tabulating exactly what each site would get, I'm focused on the max. Tupperware site maxed out tabulations at $204,450,924 with untabs and redacteds, NeoCity maxed out at $243,167,500 with untabs, Downtown Orlando maxed out at $443,358,118 with 2 untabs (least), Lake Nona/Sunbridge maxed out at $801,621,854 (assuming in Orange County with 3 phases), with untabs."
Manatee-Sarasota,Florida,United States,0,0,"CORE at Lakewood Ranch, Lakewood Ranch Corporate Park, Moccasin Wallow Rd",804690,27.433172,-82.429884,NA,NA,NA,NA,500000000,NA,500000000,621,"$500,000,000",$621.36,Not Released,4,Unknown,No,https://www.bradenton.com/news/business/article180409121.html,,,http://www.wlrn.org/post/sunshine-economy-loses-race-amazons-hq2,"Quartz notes region did 3 bids, but could not find mention of their release, authors, etc. "
Miami-Dade,Florida,United States,1,0,None Identified,463347,25.727848,-80.233975,Denied FOIA,Denied FOIA,Denied FOIA,NA,500000000,NA,500000000,1079,"$500,000,000","$1,079.10",Denied FOIA,6,Unknown,No,http://www.wlrn.org/post/sunshine-economy-loses-race-amazons-hq2,https://cdn.muckrock.com/foia_files/2017/12/08/20171013MDDA_DowntownMiamiStory.pdf,,,"While group bid, no sites verified/available, and Amazon IDed finalist as Miami, so chose city hall. No amounts disclosed as of yet, $500M is estimate from FL. Likely way higher. "
Tampa-St. Petersburg,Florida,United States,0,0,None Identified,648685,27.9597853,-82.5494946,Denied FOIA,Denied FOIA,Denied FOIA,NA,500000000,NA,500000000,771,"$500,000,000",$770.79,Denied FOIA,6,Unknown,No,https://www.wtsp.com/article/news/local/amazon-invokes-pitbull-exemption-to-public-bids-for-headquarters/484558705,,,http://www.wlrn.org/post/sunshine-economy-loses-race-amazons-hq2,Denied FOIA. 
Atlanta,Georgia,United States,1,0,"General Motors Plant LLP, The Gulch, Fort McPherson, Aerotropolis/Mountain View, The Stitch, Midtown, Dunwoody, The Westside",486290,33.748599,-84.390876,"Redacted, FOIA request denied",1000000000,1000000000,3320000000,1720000000,5040000000,5040000000,10364,"$5,040,000,000","$10,364.19",Values,2,Local & State,No,https://slate.com/technology/2018/11/amazon-hq2-incredible-incentives-losing-cities-offered.html,,https://slate.com/technology/2018/11/amazon-hq2-incredible-incentives-losing-cities-offered.html,https://www.businessinsider.com/amazon-hq2-cities-developers-economic-tax-incentives-2017-10#6-atlanta-georgia-1-billion-4,
Stonecrest,Georgia,United States,1,0,Amazon New City,54471,33.742925,-84.115985,Untabulated,1000000000,1000000000,NA,1720000000,1720000000,1720000000,31576,"$1,720,000,000","$31,576.44",Not Tabulated,3,Local & State,No,https://cdn.muckrock.com/foia_files/2018/01/02/Amazon_HQ2_Proposal_FINAL_DRAFT.pdf,https://cdn.muckrock.com/foia_files/2018/01/02/Amazon_HQ2_Proposal_FINAL_DRAFT.pdf,https://slate.com/technology/2018/11/amazon-hq2-incredible-incentives-losing-cities-offered.html,,"345 acres, untabulated ($50M worth?), plus 0% millage rate, no business fees, untabulated state funds. "
